,title,author_name,book_id,url,is_ebook,is_eng,num_pages,publication_year,publication_month,publication_day,average_rating,to_read,ratings_count,text_reviews_count,author_average_rating,author_ratings_count,author_text_reviews_count
0,Vision of Sir Launfal and Other Poems,James Russell Lowell,16037549,https://www.goodreads.com/book/show/16037549-vision-of-sir-launfal-and-other-poems,0,1,80.0,1887.0,11.0,1.0,3.83,8,3,1,4.03,1464,158
1,Fairy Tales: Dramolettes,Robert Walser,22466716,https://www.goodreads.com/book/show/22466716-fairy-tales,0,0,128.0,2015.0,4.0,20.0,3.83,100,37,2,4.02,10359,1079
2,Thirty Poems,Robert Walser,13447246,https://www.goodreads.com/book/show/13447246-thirty-poems,0,1,64.0,2012.0,5.0,31.0,3.79,30,39,4,4.02,10359,1079
3,Oppressive Light: Selected Poems by Robert Walser,Robert Walser,12740665,https://www.goodreads.com/book/show/12740665-oppressive-light,0,0,200.0,2012.0,8.0,7.0,4.46,60,26,5,4.02,10359,1079
5,The Cocktail Party,T.S. Eliot,926667,https://www.goodreads.com/book/show/926667.The_Cocktail_Party,0,0,190.0,1964.0,3.0,18.0,3.71,554,115,12,4.17,189956,5892
9,Macavity: The Mystery Cat,T.S. Eliot,18747126,https://www.goodreads.com/book/show/18747126-macavity,0,0,32.0,2014.0,5.0,1.0,3.8,31,2,1,4.17,189956,5892
11,Collected Poems 1909-1962,T.S. Eliot,13595971,https://www.goodreads.com/book/show/13595971-collected-poems-1909-1962,0,1,223.0,2002.0,2.0,18.0,4.29,2314,87,14,4.17,189956,5892
14,Selected Poems,T.S. Eliot,65338,https://www.goodreads.com/book/show/65338.Selected_Poems,0,1,96.0,2006.0,3.0,7.0,4.24,4498,101,8,4.17,189956,5892
17,The Waste Land and Other Poems,T.S. Eliot,1842285,https://www.goodreads.com/book/show/1842285.The_Waste_Land_and_Other_Poems,0,1,96.0,2002.0,1.0,2.0,4.23,5662,460,39,4.17,189956,5892
19,The Waste Land,T.S. Eliot,22158284,https://www.goodreads.com/book/show/22158284-the-waste-land,0,0,26.0,2014.0,5.0,1.0,4.12,2234,8,2,4.17,189956,5892
22,The Waste Land: A Facsimile & Transcript of the Original Drafts,T.S. Eliot,94769,https://www.goodreads.com/book/show/94769.The_Waste_Land,0,1,149.0,1971.0,9.0,1.0,4.12,2234,37,3,4.17,189956,5892
27,The Love Song of J. Alfred Prufrock,T.S. Eliot,27405192,https://www.goodreads.com/book/show/27405192-the-love-song-of-j-alfred-prufrock,1,0,11.0,2016.0,1.0,5.0,4.31,2,10,2,4.17,189956,5892
28,Pavasaris žiemos vidury,T.S. Eliot,11329895,https://www.goodreads.com/book/show/11329895-pavasaris-iemos-vidury,0,0,158.0,1991.0,7.0,19.0,3.82,6,11,2,4.17,189956,5892
29,Selected Poems,T.S. Eliot,856157,https://www.goodreads.com/book/show/856157.Selected_Poems,0,1,114.0,2002.0,2.0,18.0,4.24,4497,266,24,4.17,189956,5892
31,The Voice of the Poet: T.S. Eliot,T.S. Eliot,80412,https://www.goodreads.com/book/show/80412.The_Voice_of_the_Poet,0,1,64.0,2005.0,3.0,29.0,4.11,39,35,6,4.17,189956,5892
32,Eliot: Poems,T.S. Eliot,80413,https://www.goodreads.com/book/show/80413.Eliot,0,1,224.0,1998.0,5.0,26.0,4.07,124,122,8,4.17,189956,5892
35,"The Complete Poems and Plays, 1909-1950",T.S. Eliot,79936,https://www.goodreads.com/book/show/79936.The_Complete_Poems_and_Plays_1909_1950,0,1,400.0,1952.0,11.0,20.0,4.33,566,5302,72,4.17,189956,5892
36,Prufrock and Other Observations,T.S. Eliot,13448151,https://www.goodreads.com/book/show/13448151-prufrock-and-other-observations,0,1,40.0,2001.0,2.0,19.0,4.32,7114,6,1,4.17,189956,5892
37,The Poems of T. S. Eliot: Practical Cats and Further Verses,T.S. Eliot,27773875,https://www.goodreads.com/book/show/27773875-the-poems-of-t-s-eliot,0,0,688.0,2015.0,10.0,22.0,3.86,26,6,1,4.17,189956,5892
38,Old Possum's Book of Practical Cats: with illustrations by Rebecca Ashdown,T.S. Eliot,18590882,https://www.goodreads.com/book/show/18590882-old-possum-s-book-of-practical-cats,0,0,128.0,2014.0,2.0,6.0,4.09,15412,33,4,4.17,189956,5892
41,Prufrock and Other Observations,T.S. Eliot,821245,https://www.goodreads.com/book/show/821245.Prufrock_and_Other_Observations,0,1,33.0,2001.0,2.0,19.0,4.32,7114,137,11,4.17,189956,5892
42,The Family Reunion,T.S. Eliot,926694,https://www.goodreads.com/book/show/926694.The_Family_Reunion,0,0,132.0,1964.0,3.0,18.0,3.49,290,298,24,4.17,189956,5892
43,Old Possum's Book of Practical Cats,T.S. Eliot,6430592,https://www.goodreads.com/book/show/6430592-old-possum-s-book-of-practical-cats,0,0,80.0,2009.0,10.0,19.0,4.09,15419,106,20,4.17,189956,5892
46,La tierra baldía,T.S. Eliot,24674785,https://www.goodreads.com/book/show/24674785-la-tierra-bald-a,0,0,128.0,2015.0,1.0,15.0,4.2,6714,47,6,4.17,189956,5892
59,The Waste Land,T.S. Eliot,17575120,https://www.goodreads.com/book/show/17575120-the-waste-land,0,0,96.0,2013.0,9.0,16.0,4.12,2234,145,16,4.17,189956,5892
63,The Waste Land and Other Writings,T.S. Eliot,34082,https://www.goodreads.com/book/show/34082.The_Waste_Land_and_Other_Writings,0,1,272.0,2002.0,1.0,8.0,4.12,2233,2261,63,4.17,189956,5892
64,The Waste Land,T.S. Eliot,34080,https://www.goodreads.com/book/show/34080.The_Waste_Land,0,1,320.0,2000.0,12.0,1.0,4.12,2233,29710,544,4.17,189956,5892
65,The Annotated Waste Land with Eliot's Contemporary Prose,T.S. Eliot,34081,https://www.goodreads.com/book/show/34081.The_Annotated_Waste_Land_with_Eliot_s_Contemporary_Prose,0,1,304.0,2006.0,8.0,28.0,4.12,2233,190,13,4.17,189956,5892
71,Four Quartets,T.S. Eliot,1395399,https://www.goodreads.com/book/show/1395399.Four_Quartets,0,1,64.0,2000.0,8.0,3.0,4.37,5588,62,7,4.17,189956,5892
76,The Waste Land and Other Writings,T.S. Eliot,765393,https://www.goodreads.com/book/show/765393.The_Waste_Land_and_Other_Writings,0,1,272.0,2001.0,2.0,13.0,4.12,2234,54,5,4.17,189956,5892
77,"The Waste Land, Prufrock and Other Poems",T.S. Eliot,436605,https://www.goodreads.com/book/show/436605.The_Waste_Land_Prufrock_and_Other_Poems,0,1,49.0,1998.0,1.0,26.0,4.2,6720,366,28,4.17,189956,5892
80,Old Possum's Book of Practical Cats,T.S. Eliot,402128,https://www.goodreads.com/book/show/402128.Old_Possum_s_Book_of_Practical_Cats,0,1,56.0,1982.0,8.0,30.0,4.09,15419,15716,626,4.17,189956,5892
